2021-11-10 17:46:40.379Z,-4.3244,134.1805,10,6,mww,,22,2.38,0.85,us,us7000f 0f,2022-01-15 20:51:45.040Z,"181 km SW of Nabire, Indonesia",ear hquake,6.1,1.7,0.049,40,reviewed,us,us
2021-11-10 15:45:13.652Z,23.5935,126.4474,12,6.6,mww,,15,3.259,0.8,us,us7000fszl,2022-02-01 22:10:17.110Z,"177 km SE of Hirara, Japan",ear hquake,6.2,1.7,0.033,90,reviewed,us,us
2021-11-09 06:25:14.907Z,11.2198,-86.5255,20,6.3,mww,,89,0.962,0.68,us,us7000fskw,2022-01-15 20:51:42.040Z,"62 km S of Masachapa, Nicaragua",ear hquake,6.6,1.9,0.032,94,reviewed,us,us
2021-11-06 14:37:36.731Z,-0.0451,124.2812,34,6,mww,,20,1.805,1.11,us,us7000fs08,2022-01-15 20:51:36.040Z,"150 km ESE of Goron alo, Indonesia",ear hquake,3.1,1.8,0.06,27,reviewed,us,us
2021-11-01 17:04:16.557Z,0.2081,96.709,8,6,mww,,17,1.391,1,us,us7000fqjc,2022-01-14 17:58:50.040Z,"253 km S of Sinabang, Indonesia",ear hquake,7.2,1.7,0.047,44,reviewed,us,us
2021-11-01 00:02:48.965Z,-58.0284,-25.2678,22,6,mww,,19,7.301,0.89,us,us7000fqcg,2022-01-14 17:58:48.040Z,"Sou h Sandwich Islands region",ear hquake,8.5,1.7,0.039,62,reviewed,us,us
2021-10-24 05:11:34.230Z,24.5108,121.8314,69,6.2,mww,,18,0.399,0.92,us,us6000fx56,2022-01-08 17:42:13.040Z,"28 km SSE of Yilan,  aiwan",ear hquake,6.3,1.9,0.048,41,reviewed,us,us
2021-10-21 08:10:43.027Z,-25.316,179.604,487,6.1,mww,,37,7.671,0.65,us,us6000fwd5,2021-12-25 22:58:55.040Z,"sou h of  he Fiji Islands",ear hquake,10.7,2,0.053,34,reviewed,us,us
2021-10-18 07:26:51.639Z,-13.69,167.0396,93,6.2,mww,,63,1.754,0.65,us,us6000fvkf,2021-12-25 22:58:45.040Z,"59 km WNW of Sola, Vanua u",ear hquake,7.6,1.9,0.041,58,reviewed,us,us
2021-10-15 02:44:59.320Z,-8.8783,158.4642,33,6.4,mww,,20,1.566,0.98,us,us6000furk,2021-12-25 22:58:34.040Z,"148 km WSW of Buala, Solomon Islands",ear hquake,6.5,1.8,0.048,42,reviewed,us,us
2021-10-12 09:24:05.099Z,35.1691,26.2152,20,6.4,mww,,19,0.86,0.46,us,us6000f xu,2021-12-18 19:58:57.040Z,"4 km SW of Palekas ro, Greece",ear hquake,6.1,1.8,0.048,42,reviewed,us,us
2021-10-11 09:10:25.147Z,56.2954,-156.581,51.6,6.9,mww,,,,0.65,ak,ak021d1u1nos,2022-01-08 01:04:01.684Z,"112 km E of Chignik, Alaska",ear hquake,,0.7,,,reviewed,ak,ak
